agent_x,agent_y,agent_vx,agent_vy,agent_heading,lidar_0,lidar_1,lidar_2,lidar_3,lidar_4,lidar_5,lidar_6,lidar_7,lidar_8,lidar_9,lidar_10,lidar_11,lidar_12,lidar_13,lidar_14,lidar_15,car1_rel_x,car1_rel_y,car1_rel_vx,car1_rel_vy,car2_rel_x,car2_rel_y,car2_rel_vx,car2_rel_vy,car3_rel_x,car3_rel_y,car3_rel_vx,car3_rel_vy,car4_rel_x,car4_rel_y,car4_rel_vx,car4_rel_vy,car5_rel_x,car5_rel_y,car5_rel_vx,car5_rel_vy,ped1_rel_x,ped1_rel_y,ped2_rel_x,ped2_rel_y,ped3_rel_x,ped3_rel_y,ped4_rel_x,ped4_rel_y,ped5_rel_x,ped5_rel_y,tl_red,tl_yellow,tl_green,tl_ttc,temperature,traffic_density,pedestrian_density,driver_impatience,npc_color,npc_size,roughness,action_accel,action_steer,reward,done
235.14294,394.33383,4.071741,0.9589876,-0.23130727,200.0,200.0,200.0,200.0,200.0,200.0,200.0,102.5,200.0,200.0,200.0,200.0,37.5,200.0,200.0,110.625,84.857056,57.261353,1.6340762e-16,-2.668649,-90.36113,-64.33383,2.878484,-0.0,84.857056,162.43301,1.115745e-16,-1.82215,-180.91125,-64.33383,2.890662,-0.0,44.857056,-200.91745,1.5913698e-16,2.5989041,14.857056,-37.83383,14.857056,-37.83383,14.857056,-37.83383,14.857056,-37.83383,2.0359733,-121.75114,0.0,1.0,0.0,0.13333334,0,2,2,0.22035159798324078,68,3,0.25,-2.1280677318573,0.8051329255104065,-49.096370697021484,0
239.1155,394.93744,3.9725513,0.603619,-0.15079397,200.0,200.0,200.0,200.0,200.0,200.0,200.0,94.375,200.0,200.0,200.0,200.0,37.5,200.0,200.0,200.0,80.88451,54.139008,1.542274e-16,-2.5187247,-91.60434,-64.93744,2.7293468,-0.0,80.88451,160.06348,1.0813121e-16,-1.7659166,-181.86298,-64.93744,3.0208378,-0.0,40.884506,-199.23558,1.3994513e-16,2.2854774,10.884506,-38.93744,10.884506,-38.93744,10.884506,-38.93744,10.884506,-38.93744,-1.5092322,-122.09518,0.0,1.0,0.0,0.16666667,0,2,2,0.22035159798324078,68,3,0.25,0.052563607692718506,-1.3643954992294312,-49.09321594238281,0
243.02321,395.93854,3.9077196,1.0011102,-0.25079396,200.0,200.0,200.0,200.0,200.0,200.0,200.0,94.375,200.0,200.0,200.0,183.75,37.5,200.0,200.0,110.625,76.97679,50.447815,1.6472e-16,-2.6900816,-92.92412,-65.93854,2.5879364,-0.0,76.97679,157.10931,1.1958971e-16,-1.9530481,-183.02771,-65.93854,2.7429779,-0.0,36.97679,-198.22682,1.230678e-16,2.0098498,6.9767914,-40.438538,6.9767914,-40.438538,6.9767914,-40.438538,6.9767914,-40.438538,-4.989603,-122.8367,0.0,1.0,0.0,0.2,0,2,2,0.22035159798324078,68,3,0.25,0.3882913291454315,-0.6522061228752136,-49.06991958618164,0
246.9681,397.2284,3.9448838,1.289867,-0.3160146,200.0,200.0,200.0,200.0,200.0,200.0,167.5,200.0,200.0,200.0,200.0,200.0,200.0,118.75,200.0,200.0,73.031906,46.61902,1.5546606e-16,-2.5389533,-94.415146,-67.22839,2.4538527,-0.0,73.031906,153.9267,1.1589904e-16,-1.892775,-184.09944,-67.22839,2.8731537,-0.0,33.031906,-197.74922,1.08225876e-16,1.7674627,3.0319061,-42.228394,3.0319061,-42.228394,3.0319061,-42.228394,3.0319061,-42.228394,-8.507145,-123.86699,0.0,1.0,0.0,0.23333333,0,2,2,0.22035159798324078,68,3,0.25,1.2821807861328125,1.3356518745422363,0.9900811314582825,0
251.31506,398.18228,4.346976,0.9538935,-0.2160146,200.0,200.0,200.0,200.0,200.0,200.0,200.0,78.125,200.0,200.0,200.0,175.625,200.0,45.625,200.0,118.75,68.68494,42.954834,1.6595864e-16,-2.7103102,-96.435394,-68.18228,2.326716,-0.0,68.68494,151.13846,1.1232229e-16,-1.8343621,-185.44308,-68.18228,3.0033295,-0.0,28.684937,-197.1488,9.5173886e-17,1.5543075,-1.3150635,-43.68228,-1.3150635,-43.68228,-1.3150635,-43.68228,-1.3150635,-43.68228,-12.42677,-124.5613,0.0,1.0,0.0,0.26666668,0,2,2,0.22035159798324078,68,3,0.25,-0.3425540328025818,-0.9998130798339844,0.9787770509719849,0
255.4914,399.54773,4.176332,1.3654577,-0.3159959,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,45.625,200.0,200.0,64.508606,39.03134,1.566351e-16,-2.5580454,-98.40556,-69.54773,2.2061663,-0.0,64.508606,147.99524,1.088559e-16,-1.7777518,24.508606,-197.1474,8.369595e-17,1.3668586,-186.89233,-69.54773,2.7270799,-0.0,-5.491394,-45.54773,-5.491394,-45.54773,-5.491394,-45.54773,-5.491394,-45.54773,-16.175756,-125.66718,0.0,1.0,0.0,0.3,0,2,2,0.22035159798324078,68,3,0.25,-0.5630680322647095,0.23273546993732452,0.9601956605911255,0
259.6094,400.78882,4.1180224,1.2410896,-0.29272234,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,45.625,200.0,200.0,60.390594,35.060852,1.6712769e-16,-2.7294023,-100.43172,-70.78882,2.0918624,-0.0,60.390594,144.78925,1.203144e-16,-1.9648833,20.390594,-197.18648,7.360225e-17,1.202016,-188.15308,-70.78882,2.8572557,-0.0,-9.6094055,-47.28882,-9.6094055,-47.28882,-9.6094055,-47.28882,-9.6094055,-47.28882,-19.866425,-126.6487,0.0,1.0,0.0,0.33333334,0,2,2,0.22035159798324078,68,3,0.25,0.28042393922805786,-1.2175906896591187,0.9770210385322571,0
263.66068,402.467,4.05127,1.6782013,-0.39272234,200.0,200.0,200.0,200.0,200.0,200.0,151.25,200.0,200.0,200.0,200.0,200.0,200.0,200.0,53.75,200.0,56.339325,30.80661,1.5773849e-16,-2.576065,-102.49951,-72.46701,1.9834809,-0.0,56.339325,141.20682,1.1660138e-16,-1.904245,16.339325,-197.80762,6.472585e-17,1.0570533,-189.21692,-72.46701,2.9874315,-0.0,-13.660675,-49.46701,-13.660675,-49.46701,-13.660675,-49.46701,-13.660675,-49.46701,-23.49035,-128.06732,0.0,1.0,0.0,0.36666667,0,2,2,0.22035159798324078,68,3,0.25,-1.0078094005584717,-0.44594883918762207,0.9440210461616516,0
267.48364,404.25427,3.8229556,1.7872597,-0.43731722,200.0,200.0,200.0,200.0,200.0,200.0,143.125,200.0,53.75,200.0,200.0,200.0,200.0,200.0,53.75,200.0,52.516357,26.271912,1.6823108e-16,-2.747422,-104.44176,-74.25427,1.8807148,-0.0,52.516357,137.5741,1.1300294e-16,-1.845478,12.516357,-198.6653,5.691994e-17,0.9295732,-189.92227,-74.25427,3.1176074,-0.0,-17.483643,-51.754272,-17.483643,-51.754272,-17.483643,-51.754272,-17.483643,-51.754272,-26.885973,-129.595,0.0,1.0,0.0,0.4,0,2,2,0.22035159798324078,68,3,0.25,0.6211819648742676,1.5201191902160645,0.9812919497489929,0
271.64178,405.71262,4.158138,1.4583474,-0.33731723,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,53.75,200.0,200.0,200.0,200.0,200.0,53.75,200.0,48.358215,22.22049,1.5877989e-16,-2.5930724,-106.81662,-75.712616,1.783273,-0.0,48.358215,134.32724,1.09515557e-16,-1.7885247,8.358215,-199.30617,5.005542e-17,0.81746703,-191.24957,-75.712616,2.8308463,-0.0,-21.641785,-53.712616,-21.641785,-53.712616,-21.641785,-53.712616,-21.641785,-53.712616,-30.616772,-130.79378,0.0,1.0,0.0,0.43333334,0,2,2,0.22035159798324078,68,3,0.25,-0.34936046600341797,0.8818081021308899,0.9697629809379578,0
275.85632,406.78488,4.2145486,1.0722748,-0.24913642,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,159.375,61.875,135.0,44.143677,18.38379,1.6927248e-16,-2.7644293,-109.34029,-76.78488,1.6908797,-0.0,44.143677,131.27933,1.2097405e-16,-1.9756563,4.1436768,-199.65955,4.401876e-17,0.7188809,-192.50308,-76.78488,2.9610221,-0.0,-25.856323,-55.28488,-25.856323,-55.28488,-25.856323,-55.28488,-25.856323,-55.28488,-34.403965,-131.60648,0.0,1.0,0.0,0.46666667,0,2,2,0.22035159798324078,68,3,0.25,-0.12809845805168152,-0.6156637072563171,0.9655358195304871,0
279.97678,408.10797,4.1204653,1.3230921,-0.3107028,200.0,200.0,200.0,200.0,200.0,200.0,200.0,200.0,37.5,200.0,200.0,200.0,200.0,200.0,61.875,200.0,40.023224,14.451569,1.5976278e-16,-2.6091242,40.023224,128.04156,1.1724068e-16,-1.9146855,-111.85747,-78.10797,1.6032735,-0.0,0.023223877,-200.35045,3.8710114e-17,0.63218415,-193.93488,-78.10797,2.688664,-0.0,-29.976776,-57.10797,-29.976776,-57.10797,-29.976776,-57.10797,-29.976776,-57.10797,-38.097076,-132.67,0.0,1.0,0.0,0.5,0,2,2,0.22035159798324078,68,3,0.25,1.529742956161499,0.10779177397489548,1.0255358219146729,0
284.39786,409.47522,4.421095,1.367235,-0.29992363,200.0,200.0,200.0,200.0,200.0,191.875,200.0,200.0,37.5,200.0,200.0,200.0,200.0,200.0,61.875,200.0,35.602142,10.621765,1.5078732e-16,-2.462544,35.602142,124.818726,1.1362251e-16,-1.8555963,-114.75835,-79.47522,1.5202062,-0.0,-4.3978577,-201.16176,3.4041692e-17,0.555943,-195.9146,-79.47522,2.4413576,-0.0,-34.397858,-58.97522,-34.397858,-58.97522,-34.397858,-58.97522,-34.397858,-58.97522,-42.090813,-133.77766,0.0,1.0,0.0,0.53333336,0,2,2,0.22035159798324078,68,3,0.25,-1.2266432046890259,-1.7670190334320068,0.9925357699394226,0
288.5084,411.21277,4.1105323,1.737535,-0.39992362,200.0,200.0,200.0,200.0,200.0,191.875,200.0,200.0,29.375,29.375,200.0,200.0,175.625,200.0,200.0,200.0,31.491608,6.250305,1.6127992e-16,-2.633901,31.491608,121.28284,1.10116e-16,-1.7983307,-117.427444,-81.21277,1.4414427,-0.0,-8.508392,-202.41042,2.993628e-17,0.48889652,-197.80833,-81.21277,2.2167988,-0.0,-38.508392,-61.21277,-38.508392,-61.21277,-38.508392,-61.21277,-38.508392,-61.21277,-45.774006,-135.25565,0.0,1.0,0.0,0.56666666,0,2,2,0.22035159798324078,68,3,0.25,2.3267173767089844,-1.857519507408142,0.05253572389483452,0
292.6882,413.4958,4.179818,2.2830305,-0.49992362,200.0,200.0,200.0,200.0,200.0,191.875,118.75,200.0,200.0,21.25,200.0,200.0,200.0,200.0,167.5,78.125,27.311798,1.4813538,1.5221923e-16,-2.4859288,27.311798,117.01434,1.2157449e-16,-1.9854622,-120.24049,-83.49579,1.3667601,-0.0,-12.688202,-204.2635,2.6325976e-17,0.4299358,27.311798,214.27899,1.1117671e-16,-1.8156534,-42.6882,-63.49579,-42.6882,-63.49579,-42.6882,-63.49579,-42.6882,-63.49579,-49.52647,-137.2791,0.0,1.0,0.0,0.6,0,2,2,0.22035159798324078,68,3,0.25,-0.21100500226020813,0.8594749569892883,0.045572567731142044,0
